#t dx dy dz
0.447 -3.9136 -3.1901 2.3224
0.448 -3.9701 -3.5043 2.5635
0.449 -4.0741 -3.2730 2.7208
0.45 -4.2491 -3.3565 2.3697
0.451 -4.2666 -3.2774 2.6408
0.452 -4.0449 -3.2583 2.5503
0.453 -3.8202 -3.4194 2.4433
0.454 -3.8391 -3.4052 2.4678
0.455 -3.9823 -3.7449 2.4152
0.456 -3.9086 -3.8125 2.4899
0.457 -3.7076 -3.7541 2.1943
0.458 -3.4760 -3.5413 2.3374
0.459 -3.7472 -3.3313 2.0231
0.46 -3.6969 -3.1846 2.0750
0.461 -3.6179 -3.3299 1.5519
0.462 -3.6195 -3.5177 1.3483
0.463 -3.6337 -3.7585 1.3970
0.464 -3.5388 -3.8588 1.5590
0.465 -3.7074 -3.5952 1.8049
0.466 -3.4284 -3.4121 1.7412
0.467 -3.4428 -3.4438 1.7615
0.468 -3.2172 -3.4027 1.6391
0.469 -3.2516 -3.3562 1.9558
0.47 -3.3785 -3.0585 1.4888
0.471 -3.1010 -3.1625 1.5524
0.472 -3.3682 -2.7416 1.3343
0.473 -3.5492 -2.8729 1.0419
0.474 -3.4189 -3.0218 1.1006
0.475 -3.2860 -3.5527 1.0648
0.476 -3.0984 -3.3874 1.4120
0.477 -3.0103 -3.6207 1.3315
0.478 -3.1835 -3.4956 1.1481
0.479 -3.4873 -3.3771 1.2682
0.48 -3.3988 -3.7257 1.1094
0.481 -3.5553 -3.9127 1.0961
0.482 -3.5422 -3.5460 1.0831
0.483 -3.5496 -3.6516 1.1511
0.484 -3.4054 -3.7986 1.0241
0.485 -3.1790 -3.5013 0.9750
0.486 -3.2119 -3.3778 0.9702
0.487 -3.3823 -3.3270 1.0232
0.488 -3.3205 -3.1109 1.1110
0.489 -3.3726 -3.0559 0.9498
0.49 -3.3834 -3.2095 1.1971
0.491 -3.4786 -3.4760 1.3407
0.492 -3.4723 -3.6716 1.4480
0.493 -3.5169 -3.9943 1.3454
0.494 -3.8422 -4.0280 1.0487
0.495 -3.7827 -4.0295 0.8347
0.496 -3.4739 -3.8645 0.8793
0.497 -3.3191 -4.0065 0.8538
0.498 -3.4132 -4.1733 0.9383
0.499 -2.9403 -3.9394 0.8930
0.5 -2.7275 -4.3874 1.1606
0.501 -2.9634 -4.7747 1.1415
0.502 -2.8944 -4.6382 1.0961
0.503 -2.7143 -4.4678 1.2705
0.504 -2.7062 -4.4968 0.8913
0.505 -2.9776 -4.3648 0.7193
0.506 -2.9382 -4.3719 0.5612
0.507 -3.0013 -4.0090 0.8162
0.508 -3.2843 -3.8354 0.9351
0.509 -3.3543 -3.6103 1.0112
0.51 -3.3876 -3.3704 0.8799
0.511 -3.3708 -3.1490 1.2724
0.512 -3.0183 -3.1931 1.2901
